Timestamp,FPS,Inference_Latency_ms,Gesture_Detected
21:13:06,38.27,17.88,NEUTRAL
21:13:06,41.34,13.1,NEUTRAL
21:13:06,41.76,13.32,NEUTRAL
21:13:06,42.13,13.36,MUTE
21:13:06,40.86,21.19,MUTE
21:13:06,41.57,13.98,MUTE
21:13:06,41.84,12.9,MUTE
21:13:06,41.8,12.87,MUTE
21:13:06,42.67,14.62,MUTE
21:13:06,45.56,15.01,MUTE
21:13:06,46.22,13.04,MUTE
21:13:06,45.3,18.8,MUTE
21:13:06,45.19,13.35,MUTE
21:13:06,44.64,15.97,MUTE
21:13:06,46.14,12.74,MUTE
21:13:07,45.19,18.78,MUTE
21:13:07,44.9,13.75,MUTE
21:13:07,44.4,14.36,MUTE
21:13:07,44.88,12.64,MUTE
21:13:07,43.66,21.94,MUTE
21:13:07,42.24,21.97,MUTE
21:13:07,43.3,13.54,NEUTRAL
21:13:07,41.95,22.24,NEUTRAL
21:13:07,41.82,13.97,NEUTRAL
21:13:07,41.71,13.32,NEUTRAL
21:13:07,42.75,12.88,NEUTRAL
21:13:07,43.0,12.88,NEUTRAL
21:13:07,42.85,15.32,NEUTRAL
21:13:07,42.61,13.71,NEUTRAL
21:13:07,40.61,14.57,MUTE
21:13:07,42.1,14.4,NEUTRAL
21:13:07,41.97,13.62,NEUTRAL
21:13:07,43.34,14.17,NEUTRAL
21:13:07,43.38,16.63,MUTE
21:13:07,43.2,14.43,MUTE
21:13:07,43.4,12.79,MUTE
21:13:07,43.18,13.67,MUTE
21:13:07,43.64,13.77,MUTE
21:13:07,43.18,14.87,MUTE
21:13:07,46.49,14.78,MUTE
21:13:07,45.21,22.48,MUTE
21:13:07,45.73,13.13,MUTE
21:13:07,45.73,14.55,MUTE
21:13:07,46.51,12.62,MUTE
21:13:07,46.43,13.42,MUTE
21:13:07,46.26,13.4,MUTE
21:13:07,46.14,14.56,NEUTRAL
21:13:07,46.15,13.92,NEUTRAL
21:13:07,46.12,13.92,NEUTRAL
21:13:07,44.77,22.2,NEUTRAL
21:13:07,46.56,12.8,MUTE
21:13:07,46.36,13.82,MUTE
21:13:07,46.63,13.37,MUTE
21:13:07,45.61,17.54,MUTE
21:13:07,45.93,13.17,MUTE
21:13:07,45.86,13.68,MUTE
21:13:07,45.85,14.15,MUTE
21:13:08,45.61,14.03,MUTE
21:13:08,46.23,12.89,MUTE
21:13:08,47.42,15.7,NEUTRAL
21:13:08,47.15,13.15,NEUTRAL
21:13:08,47.19,13.08,NEUTRAL
21:13:08,43.88,13.31,VOL UP
21:13:08,44.13,15.57,VOL UP
21:13:08,43.97,13.29,VOL UP
21:13:08,43.45,15.46,NEUTRAL
21:13:08,43.59,13.97,NEUTRAL
21:13:08,43.86,12.91,NEUTRAL
21:13:08,43.88,13.4,NEUTRAL
21:13:08,43.46,17.92,NEUTRAL
21:13:08,43.4,13.43,NEUTRAL
21:13:08,43.43,13.02,NEUTRAL
21:13:08,46.95,12.87,NEUTRAL
21:13:08,47.47,13.77,NEUTRAL
21:13:08,47.52,13.6,NEUTRAL
21:13:08,44.66,12.57,VOL UP
21:13:08,43.8,17.42,VOL UP
21:13:08,43.48,12.91,VOL UP
21:13:08,42.49,15.68,VOL UP
21:13:08,42.02,19.58,VOL UP
21:13:08,38.64,13.32,VOL UP
21:13:08,37.21,17.66,VOL UP
21:13:08,36.94,13.02,VOL UP
21:13:08,36.87,14.46,VOL UP
21:13:08,36.98,13.27,VOL UP
21:13:08,40.33,13.89,NEUTRAL
21:13:08,41.4,12.94,NEUTRAL
21:13:08,41.8,12.97,NEUTRAL
21:13:08,42.76,13.08,NEUTRAL
21:13:08,44.09,13.76,NEUTRAL
21:13:08,47.73,12.72,NEUTRAL
21:13:08,48.4,13.88,NEUTRAL
21:13:08,48.68,12.77,NEUTRAL
21:13:08,46.56,31.29,NEUTRAL
21:13:08,46.68,12.95,NEUTRAL
21:13:09,43.45,13.04,VOL DOWN
21:13:09,42.89,14.96,NEUTRAL
21:13:09,42.46,14.0,NEUTRAL
21:13:09,41.92,15.71,NEUTRAL
21:13:09,41.62,13.66,NEUTRAL
21:13:09,41.45,13.27,NEUTRAL
21:13:09,42.24,13.32,NEUTRAL
21:13:09,41.63,15.03,NEUTRAL
21:13:09,43.62,12.96,NEUTRAL
21:13:09,42.68,15.8,NEUTRAL
21:13:09,45.79,12.9,NEUTRAL
21:13:09,46.0,13.49,NEUTRAL
21:13:09,46.19,12.76,NEUTRAL
21:13:09,45.66,19.11,NEUTRAL
21:13:09,45.83,13.13,NEUTRAL
21:13:09,45.39,15.32,NEUTRAL
21:13:09,45.36,13.43,NEUTRAL
21:13:09,45.79,13.32,NEUTRAL
21:13:09,46.05,13.17,NEUTRAL
21:13:09,46.25,16.3,NEUTRAL
21:13:09,46.68,12.62,NEUTRAL
21:13:09,45.81,19.43,NEUTRAL
21:13:09,42.53,13.96,VOL DOWN
21:13:09,42.94,16.45,NEUTRAL
21:13:09,42.32,16.71,NEUTRAL
21:13:09,42.76,12.65,NEUTRAL
21:13:09,42.41,14.75,VOL UP
21:13:09,39.02,13.17,VOL UP
21:13:09,38.68,15.61,VOL UP
21:13:09,38.96,13.6,NEUTRAL
21:13:09,38.53,13.89,NEUTRAL
21:13:09,39.42,14.32,NEUTRAL
21:13:09,43.07,12.71,NEUTRAL
21:13:09,40.31,16.27,VOL UP
21:13:09,40.77,14.84,NEUTRAL
21:13:09,40.31,14.78,NEUTRAL
21:13:09,40.76,13.34,NEUTRAL
21:13:10,40.75,14.51,MUTE
21:13:10,40.87,15.03,NEUTRAL
21:13:10,40.76,14.16,NEUTRAL
21:13:10,40.18,17.44,NEUTRAL
21:13:10,39.99,15.35,NEUTRAL
21:13:10,39.7,12.97,NEUTRAL
21:13:10,41.92,19.58,NEUTRAL
